precision,recall,threshold
0.204,1.0,0.012977880677058537
0.20410205102551277,1.0,0.013289747380434048
0.2042042042042042,1.0,0.013750616181547812
0.20430645968953431,1.0,0.01402222171876724
0.20440881763527055,1.0,0.01413625934341804
0.20401002506265664,0.9975490196078431,0.014167935586660435
0.2041123370110331,0.9975490196078431,0.014213258488180697
0.2042147516307075,0.9975490196078431,0.014232150466190476
0.2043172690763052,0.9975490196078431,0.01455329179330375
0.20441988950276244,0.9975490196078431,0.014795473865180112
0.20452261306532662,0.9975490196078431,0.015174886484366025
0.20462543991955756,0.9975490196078431,0.01530968044346647
0.20472837022132798,0.9975490196078431,0.015420607852207995
0.20483140412682435,0.9975490196078431,0.015619351096664078
0.20493454179254783,0.9975490196078431,0.015623737434766546
0.20503778337531486,0.9975490196078431,0.01564429820889054
0.20514112903225806,0.9975490196078431,0.01569389165271519
0.20524457892082704,0.9975490196078431,0.01572569485088755
0.2053481331987891,0.9975490196078431,0.01575188445574319
0.2054517920242302,0.9975490196078431,0.015817206219631556
0.20555555555555555,0.9975490196078431,0.015841539064167357
0.20565942395149064,0.9975490196078431,0.01594889538607348
0.2057633973710819,0.9975490196078431,0.015949483653938876
0.20586747597369753,0.9975490196078431,0.016074249344045596
0.20597165991902833,0.9975490196078431,0.016077219726580206
0.20607594936708862,0.9975490196078431,0.01608636251363944
0.20618034447821681,0.9975490196078431,0.016123343233253803
0.20628484541307654,0.9975490196078431,0.016203912958800033
0.2063894523326572,0.9975490196078431,0.01622491844699013
0.20649416539827498,0.9975490196078431,0.01622875475122479
0.2065989847715736,0.9975490196078431,0.016241865384000038
0.20670391061452514,0.9975490196078431,0.016320866840638576
0.2068089430894309,0.9975490196078431,0.016348813111034033
0.20691408235892222,0.9975490196078431,0.016383770803018168
0.20701932858596134,0.9975490196078431,0.016406518810206192
0.20712468193384223,0.9975490196078431,0.016409625042781005
0.20723014256619143,0.9975490196078431,0.016420274781439897
0.20733571064696893,0.9975490196078431,0.016440412561301875
0.2074413863404689,0.9975490196078431,0.016444383221734468
0.20754716981132076,0.9975490196078431,0.016458426694462052
0.2076530612244898,0.9975490196078431,0.016493356857549022
0.2077590607452782,0.9975490196078431,0.016556778686622257
0.20786516853932585,0.9975490196078431,0.01699794661245922
0.20797138477261115,0.9975490196078431,0.017069092907224175
0.20807770961145194,0.9975490196078431,0.01709426059730418
0.2081841432225064,0.9975490196078431,0.017158878701775206
0.2082906857727738,0.9975490196078431,0.0171981168146092
0.2083973374295955,0.9975490196078431,0.017278807550053833
0.20850409836065573,0.9975490196078431,0.017300828170462995
0.20861096873398258,0.9975490196078431,0.01731311315277533
0.20871794871794871,0.9975490196078431,0.017526524469348836
0.20882503848127246,0.9975490196078431,0.017538412332226517
0.20893223819301848,0.9975490196078431,0.01762509731644658
0.20903954802259886,0.9975490196078431,0.017742057137300066
0.2091469681397739,0.9975490196078431,0.01774583285191694
0.20925449871465296,0.9975490196078431,0.01792863838648528
0.20936213991769548,0.9975490196078431,0.018058513270184127
0.2094698919197118,0.9975490196078431,0.018118294770256952
0.20957775489186406,0.9975490196078431,0.01816666718665827
0.20968572900566718,0.9975490196078431,0.01826326073724495
0.2097938144329897,0.9975490196078431,0.01826512307014268
0.20990201134605466,0.9975490196078431,0.018417157522001504
0.21001031991744065,0.9975490196078431,0.01871344027271907
0.2101187403200826,0.9975490196078431,0.019202156345515857
0.21022727272727273,0.9975490196078431,0.019513255274344263
0.2103359173126615,0.9975490196078431,0.019705071214310255
0.21044467425025853,0.9975490196078431,0.019737866650821542
0.21055354371443352,0.9975490196078431,0.0197388272506021
0.21066252587991718,0.9975490196078431,0.01976919026594358
0.21077162092180218,0.9975490196078431,0.01977810606156043
0.21088082901554403,0.9975490196078431,0.019843580704531513
0.21099015033696217,0.9975490196078431,0.020013844563704485
0.21109958506224066,0.9975490196078431,0.020020725465122406
0.21120913336792943,0.9975490196078431,0.02006172738334665
0.21131879543094495,0.9975490196078431,0.020070484250540737
0.21142857142857144,0.9975490196078431,0.020106381744950927
0.21153846153846154,0.9975490196078431,0.020175017908164703
0.21164846593863754,0.9975490196078431,0.020178392241308584
0.21175858480749218,0.9975490196078431,0.020280768152367804
0.2118688183237897,0.9975490196078431,0.02036617303057057
0.21197916666666666,0.9975490196078431,0.020412088777089023
0.21208963001563313,0.9975490196078431,0.020431622538356772
0.2122002085505735,0.9975490196078431,0.02046176143916578
0.21231090245174752,0.9975490196078431,0.020508732574420853
0.21242171189979123,0.9975490196078431,0.020518997906813368
0.212532637075718,0.9975490196078431,0.020554695216641387
0.21264367816091953,0.9975490196078431,0.020586715807026312
0.21275483533716674,0.9975490196078431,0.020626597125027783
0.21286610878661089,0.9975490196078431,0.020713094512648703
0.2129774986917844,0.9975490196078431,0.02076193413728615
0.2130890052356021,0.9975490196078431,0.020791123484914457
0.21320062860136196,0.9975490196078431,0.020797791871757638
0.21331236897274633,0.9975490196078431,0.02084997418148644
0.21342422653382276,0.9975490196078431,0.020890552349453192
0.21353620146904512,0.9975490196078431,0.02090703594136097
0.2136482939632546,0.9975490196078431,0.020914335778505544
0.21376050420168066,0.9975490196078431,0.020918146987849186
0.21334734629532318,0.9950980392156863,0.021009799852505427
0.21345951629863302,0.9950980392156863,0.02106428261536843
0.2135718043135192,0.9950980392156863,0.021075806344442987
0.21368421052631578,0.9950980392156863,0.021082330837613777
0.21379673512374933,0.9950980392156863,0.021159067591033465
0.21390937829293993,0.9950980392156863,0.02116522660248743
0.2140221402214022,0.9950980392156863,0.021169719973731908
0.2141350210970464,0.9950980392156863,0.02119130591901051
0.21424802110817942,0.9950980392156863,0.021214675211834233
0.21436114044350582,0.9950980392156863,0.021219955391187192
0.2144743792921289,0.9950980392156863,0.02122099465810569
0.21458773784355178,0.9950980392156863,0.02127852842174634
0.21470121628767846,0.9950980392156863,0.021299810187375232
0.21481481481481482,0.9950980392156863,0.021320405237985524
0.21492853361566966,0.9950980392156863,0.02133217903900114
0.21504237288135594,0.9950980392156863,0.02133975309847308
0.21515633280339164,0.9950980392156863,0.021439520698111125
0.21527041357370094,0.9950980392156863,0.02148460935545193
0.2153846153846154,0.9950980392156863,0.021499007646892384
0.21549893842887474,0.9950980392156863,0.021541824192430423
0.21561338289962825,0.9950980392156863,0.021568571097220685
0.2157279489904357,0.9950980392156863,0.021637201146381586
0.21584263689526847,0.9950980392156863,0.02166427284732411
0.21595744680851064,0.9950980392156863,0.021666021168483502
0.2160723789249601,0.9950980392156863,0.021674852088271423
0.2161874334398296,0.9950980392156863,0.021744380509684136
0.216302610548748,0.9950980392156863,0.02174544590023178
0.21641791044776118,0.9950980392156863,0.021762319876700836
0.21653333333333333,0.9950980392156863,0.02179986573073305
0.21664887940234792,0.9950980392156863,0.021806448270602508
0.2167645488521089,0.9950980392156863,0.021811646417601565
0.2168803418803419,0.9950980392156863,0.021812228513168525
