feature,group,rows,base_rate,selection_rate,recall,false_positive_rate,brier_score
Gender,Female,932,0.25,0.2757510729613734,0.6909871244635193,0.13733905579399142,0.11178065841193617
Gender,Male,1068,0.16385767790262173,0.15543071161048688,0.6057142857142858,0.0671892497200448,0.08438357330606848
Geography,France,1011,0.17309594460929772,0.1632047477744807,0.5771428571428572,0.07655502392344497,0.0900300095719091
Geography,Germany,499,0.30060120240480964,0.36472945891783565,0.7733333333333333,0.18911174785100288,0.1251719289010387
Geography,Spain,490,0.16938775510204082,0.15510204081632653,0.6024096385542169,0.06388206388206388,0.08330632190201481
