feature_group,feature_count,cv_roc_auc_mean,cv_roc_auc_std,cv_roc_auc_min,cv_roc_auc_max,cv_pr_auc_mean,cv_pr_auc_std,cv_pr_auc_min,cv_pr_auc_max,cv_precision_mean,cv_precision_std,cv_precision_min,cv_precision_max,cv_recall_mean,cv_recall_std,cv_recall_min,cv_recall_max,cv_f1_mean,cv_f1_std,cv_f1_min,cv_f1_max,cv_accuracy_mean,cv_accuracy_std,cv_accuracy_min,cv_accuracy_max,fit_time,score_time
plus_demographics,10,0.8638318517591085,0.007868671872747967,0.8546002638903604,0.8760449673026359,0.702004631292298,0.015086627342503661,0.6832288787903571,0.7228349241281453,0.766701647450909,0.018203232193798404,0.7409326424870466,0.7958115183246073,0.4552147239263804,0.017199810759357278,0.43558282208588955,0.4815950920245399,0.5710814030396558,0.016022258400196172,0.5510597302504817,0.5891181988742965,0.86075,0.004373213921133958,0.854375,0.866875,0.7610105037689209,0.10609316825866699
expanded_bank,13,0.862274272616078,0.007179931807425685,0.853094210784833,0.8721624562991785,0.7000814956575057,0.014378418881137075,0.6808339605395847,0.7231575622966098,0.7638990528256986,0.016031917749017667,0.7357512953367875,0.7853403141361257,0.454601226993865,0.01556880679809757,0.43558282208588955,0.4815950920245399,0.569904719874716,0.015383605910508753,0.5472061657032755,0.5924528301886793,0.8602500000000001,0.004286607049870553,0.853125,0.865,1.1987027645111084,0.12154459953308105
financial_activity,8,0.8433468809892999,0.00530212040315472,0.8366227330951257,0.8502554632046306,0.6703116673298172,0.014579823348293155,0.6566933540373121,0.6974575683525096,0.7794294033470326,0.016577904485267452,0.7591623036649214,0.8081395348837209,0.41288343558282214,0.020310362401529863,0.3895705521472393,0.4447852760736196,0.5394219088882846,0.01697693092579257,0.5204918032786886,0.5609284332688588,0.8564999999999999,0.0034141250709369313,0.85375,0.8625,0.676548957824707,0.12769513130187987
baseline_raw,3,0.81500202251736,0.008240144414103158,0.8008771465169361,0.8221581223334072,0.597801266052007,0.01435559138474878,0.5790579841806374,0.6137477124555819,0.6638069397054099,0.010595807031303354,0.6502463054187192,0.6777251184834123,0.42760736196319016,0.01266243401260755,0.4049079754601227,0.4386503067484663,0.5200713919507622,0.011507275186419334,0.499054820415879,0.5325884543761639,0.83925,0.0029685855217594964,0.834375,0.843125,0.6692017555236817,0.10210185050964356
