feature,recall_gap,false_positive_rate_gap,brier_gap,selection_rate_gap
Gender,0.08527283874923353,0.07014980607394662,0.02739708510586769,0.12032036135088653
Geography,0.19619047619047614,0.125229683968939,0.04186560699902389,0.20962741810150912
