metric,mean_delta,ci_95_lower,ci_95_upper,improvement_probability
brier_score,-0.019053791349399184,-0.02304008718929201,-0.01490294954832887,1.0
f1,0.06887348626055673,0.037456251215908135,0.09897678140034641,1.0
pr_auc,0.11094576971992527,0.08375021877002997,0.13852516424851355,1.0
roc_auc,0.0488083147046507,0.03638734034757105,0.061593006392255456,1.0
