fpr,tpr,threshold
0.0,0.0,inf
0.0,0.0024509803921568627,0.9836985335852603
0.0,0.13725490196078433,0.8891789964815308
0.000628140703517588,0.13725490196078433,0.8886011008746837
0.000628140703517588,0.18137254901960784,0.8559047067880349
0.001256281407035176,0.18137254901960784,0.85445854590632
0.001256281407035176,0.18382352941176472,0.8533649100848765
0.0018844221105527637,0.18382352941176472,0.8524213913692852
0.0018844221105527637,0.19362745098039216,0.8429997861668731
0.002512562814070352,0.19362745098039216,0.8428565036708028
0.002512562814070352,0.22303921568627452,0.8231049469828052
0.00314070351758794,0.22303921568627452,0.8212456140636872
0.00314070351758794,0.23774509803921567,0.8161893124158044
0.0037688442211055275,0.23774509803921567,0.8141740403253966
0.0037688442211055275,0.24509803921568626,0.8085474696448319
0.0043969849246231155,0.24509803921568626,0.8063476551120844
0.0043969849246231155,0.25735294117647056,0.8002215535234846
0.005025125628140704,0.25735294117647056,0.7981971222322919
0.005025125628140704,0.2696078431372549,0.7856849317022498
0.005653266331658292,0.2696078431372549,0.7829821944003154
0.005653266331658292,0.27941176470588236,0.7777718754678431
0.00628140703517588,0.27941176470588236,0.777644457109588
0.00628140703517588,0.2965686274509804,0.7602612474542347
0.006909547738693468,0.2965686274509804,0.7590245017999163
0.006909547738693468,0.29901960784313725,0.7553746558386732
0.007537688442211055,0.29901960784313725,0.7514173437434026
0.007537688442211055,0.3088235294117647,0.7478717874110247
0.008793969849246231,0.3088235294117647,0.7457928468936812
0.008793969849246231,0.375,0.6821072046381419
0.010050251256281407,0.375,0.6803139137250597
0.010050251256281407,0.37745098039215685,0.6800727483748288
0.010678391959798994,0.37745098039215685,0.6784313650302437
0.010678391959798994,0.3799019607843137,0.6779754228246709
0.01193467336683417,0.3799019607843137,0.6726215157265658
0.01193467336683417,0.3872549019607843,0.6701317010512376
0.01256281407035176,0.3872549019607843,0.6669238048271056
0.01256281407035176,0.39705882352941174,0.6585066645310302
0.013190954773869347,0.39705882352941174,0.6568589545524566
0.013190954773869347,0.39950980392156865,0.6556774252770855
0.013819095477386936,0.39950980392156865,0.6521666421658919
0.013819095477386936,0.4019607843137255,0.6436386264584534
0.01507537688442211,0.4019607843137255,0.6377840018353284
0.01507537688442211,0.4117647058823529,0.6298266247984327
0.015703517587939697,0.4117647058823529,0.6289032823062405
0.015703517587939697,0.4166666666666667,0.6253141606117901
0.017587939698492462,0.4166666666666667,0.6221486846944626
0.017587939698492462,0.42401960784313725,0.6190844794146093
0.01821608040201005,0.42401960784313725,0.6180499951923643
0.01821608040201005,0.42892156862745096,0.6114534802290054
0.018844221105527637,0.42892156862745096,0.6106367674595093
0.018844221105527637,0.43137254901960786,0.6099157126149478
0.019472361809045227,0.43137254901960786,0.6097769522740312
0.019472361809045227,0.4362745098039216,0.6087979572966424
0.020100502512562814,0.4362745098039216,0.6068752566970684
0.020100502512562814,0.4411764705882353,0.6023781720275929
0.0207286432160804,0.4411764705882353,0.6004946650086137
0.0207286432160804,0.4485294117647059,0.5884618368389064
0.02135678391959799,0.4485294117647059,0.5866643932210421
0.02135678391959799,0.45098039215686275,0.5865976478268937
0.02198492462311558,0.45098039215686275,0.5865617802095207
0.02198492462311558,0.45588235294117646,0.5859612791405068
0.023241206030150754,0.45588235294117646,0.5835986748353352
0.023241206030150754,0.4681372549019608,0.5742971286893299
0.02386934673366834,0.4681372549019608,0.5732590679550488
0.02386934673366834,0.4730392156862745,0.5689975795701351
0.02512562814070352,0.4730392156862745,0.5632424378203033
0.02512562814070352,0.47549019607843135,0.562643023636889
0.025753768844221106,0.47549019607843135,0.5624299802907959
0.025753768844221106,0.48284313725490197,0.5550752896002278
0.02701005025125628,0.48284313725490197,0.5499843441380684
0.02701005025125628,0.4852941176470588,0.5467028334131431
0.029522613065326633,0.4852941176470588,0.5414332434105691
0.029522613065326633,0.4877450980392157,0.5409536111941504
0.03077889447236181,0.4877450980392157,0.5398419820342971
0.03077889447236181,0.49019607843137253,0.5398139647351128
0.031407035175879394,0.49019607843137253,0.538947106568619
0.031407035175879394,0.49264705882352944,0.5382812325618362
0.032035175879396985,0.49264705882352944,0.537475091049982
0.032035175879396985,0.49754901960784315,0.5326110172163118
0.03329145728643216,0.49754901960784315,0.5283266461683568
0.03329145728643216,0.5,0.5274263998235348
0.03706030150753769,0.5,0.519309317879883
0.03706030150753769,0.5024509803921569,0.5191854859554202
0.04020100502512563,0.5024509803921569,0.5145522567925132
0.04020100502512563,0.5073529411764706,0.5040519634383384
0.0414572864321608,0.5073529411764706,0.5017680396807626
0.0414572864321608,0.5098039215686274,0.4982605178386466
0.04334170854271357,0.5098039215686274,0.4955508598861224
0.04334170854271357,0.5196078431372549,0.49233934433881865
0.04459798994974874,0.5196078431372549,0.488021194408039
0.04459798994974874,0.5220588235294118,0.48742742327502425
0.04773869346733668,0.5220588235294118,0.47827732612806545
0.04773869346733668,0.5294117647058824,0.4745451617365775
0.04962311557788945,0.5294117647058824,0.47144089282583473
0.04962311557788945,0.5343137254901961,0.46817477869940527
0.05025125628140704,0.5343137254901961,0.46803010706867393
0.05025125628140704,0.5367647058823529,0.4679624758240702
0.05087939698492462,0.5367647058823529,0.4668243819899058
0.05087939698492462,0.5392156862745098,0.4664079744441647
0.05150753768844221,0.5392156862745098,0.4660169716949374
0.05150753768844221,0.5416666666666666,0.4655969094777896
0.052135678391959796,0.5416666666666666,0.46247544925155565
0.052135678391959796,0.5465686274509803,0.46057784565810805
0.052763819095477386,0.5465686274509803,0.4571036816756005
0.052763819095477386,0.5490196078431373,0.4570034590260055
0.05527638190954774,0.5490196078431373,0.4527686155824053
0.05527638190954774,0.5588235294117647,0.44936331717326433
0.055904522613065326,0.5588235294117647,0.44839597742406007
0.055904522613065326,0.5637254901960784,0.44536431530058085
0.056532663316582916,0.5637254901960784,0.4440813821496208
0.056532663316582916,0.5661764705882353,0.4427908615157598
0.0571608040201005,0.5661764705882353,0.4406970608733786
0.0571608040201005,0.5735294117647058,0.4389747645590336
0.059045226130653265,0.5735294117647058,0.4380413146947137
0.059045226130653265,0.5759803921568627,0.4369786255984998
0.062185929648241205,0.5759803921568627,0.4343507117766055
0.062185929648241205,0.5784313725490197,0.43027161784030543
0.06407035175879397,0.5784313725490197,0.423639609935851
0.06407035175879397,0.5808823529411765,0.421150236714482
0.06595477386934673,0.5808823529411765,0.4174353875619823
0.06595477386934673,0.5833333333333334,0.41674551353497896
0.06909547738693467,0.5833333333333334,0.41063261275596963
0.06909547738693467,0.5882352941176471,0.4082303951185377
0.07035175879396985,0.5882352941176471,0.4061535058395836
0.07035175879396985,0.5980392156862745,0.4010853002671955
0.07097989949748744,0.5980392156862745,0.40038748814548164
0.07097989949748744,0.6004901960784313,0.39804643588990923
0.0722361809045226,0.6004901960784313,0.39753158727536925
0.0722361809045226,0.6029411764705882,0.39729101614458656
0.07349246231155779,0.6029411764705882,0.3958034631529607
0.07349246231155779,0.6053921568627451,0.39507656257048035
0.07412060301507538,0.6053921568627451,0.39479504853614106
0.07412060301507538,0.6102941176470589,0.3913346344261954
0.07537688442211055,0.6102941176470589,0.3896857806863561
0.07537688442211055,0.6127450980392157,0.38827291316249085
0.07788944723618091,0.6127450980392157,0.3867106802727374
0.07788944723618091,0.6151960784313726,0.3858704961679818
0.0785175879396985,0.6151960784313726,0.38543317017248574
0.0785175879396985,0.6176470588235294,0.38466463256552924
0.07914572864321608,0.6176470588235294,0.3833474522534103
0.07914572864321608,0.6200980392156863,0.3830762888864377
0.07977386934673367,0.6200980392156863,0.38207783288038905
0.07977386934673367,0.6225490196078431,0.38125225603977525
0.08040201005025126,0.6225490196078431,0.3758219606994131
0.08040201005025126,0.625,0.3735042834869741
0.0835427135678392,0.625,0.36760931735486846
0.0835427135678392,0.6299019607843137,0.36529772463403737
0.08793969849246232,0.6299019607843137,0.35564511273950544
0.08793969849246232,0.6323529411764706,0.354139248613008
0.08982412060301508,0.6323529411764706,0.3505623087698491
0.08982412060301508,0.6421568627450981,0.3455392127372477
0.09296482412060302,0.6421568627450981,0.3391216971095357
0.09296482412060302,0.6446078431372549,0.33912113331107635
0.0935929648241206,0.6446078431372549,0.338699868957063
0.0935929648241206,0.6470588235294118,0.3380834204338274
0.09736180904522614,0.6470588235294118,0.332192652447412
0.09736180904522614,0.6495098039215687,0.3319747487869089
0.09798994974874371,0.6495098039215687,0.33194806025320345
0.09798994974874371,0.6568627450980392,0.32882317350120976
0.10301507537688442,0.6568627450980392,0.3230709156037059
0.10301507537688442,0.6617647058823529,0.3221132065952422
0.10552763819095477,0.6617647058823529,0.3173840217603912
0.10552763819095477,0.6666666666666666,0.31667175541172093
