model,fpr,tpr,threshold
ProductionV2,0.0,0.0,inf
ProductionV2,0.0,0.0024509803921568627,0.9910240397046733
ProductionV2,0.0,0.01715686274509804,0.9861425212529132
ProductionV2,0.0,0.022058823529411766,0.9852215359239723
ProductionV2,0.0,0.041666666666666664,0.9763752801139102
ProductionV2,0.0,0.04656862745098039,0.9737333670670654
ProductionV2,0.0,0.0661764705882353,0.9703555041681168
ProductionV2,0.0,0.07352941176470588,0.9684620381525457
ProductionV2,0.0,0.09558823529411764,0.8893485811463973
ProductionV2,0.000628140703517588,0.09803921568627451,0.888494863591406
ProductionV2,0.000628140703517588,0.1053921568627451,0.8680874632602759
ProductionV2,0.001256281407035176,0.1053921568627451,0.8583382665665897
ProductionV2,0.001256281407035176,0.11519607843137254,0.8402190113732023
ProductionV2,0.0018844221105527637,0.11764705882352941,0.8356736721563562
ProductionV2,0.0018844221105527637,0.12254901960784313,0.8215973569771163
ProductionV2,0.0018844221105527637,0.125,0.8140291268443294
ProductionV2,0.0018844221105527637,0.12990196078431374,0.8001965951219487
ProductionV2,0.002512562814070352,0.12990196078431374,0.7813066034345731
ProductionV2,0.002512562814070352,0.13480392156862744,0.775546004688846
ProductionV2,0.00314070351758794,0.13480392156862744,0.7729525427275599
ProductionV2,0.0037688442211055275,0.13725490196078433,0.7703280634599856
ProductionV2,0.0043969849246231155,0.13725490196078433,0.7697461901267518
ProductionV2,0.005653266331658292,0.13725490196078433,0.7653708662204131
ProductionV2,0.005653266331658292,0.14215686274509803,0.7474823159281848
ProductionV2,0.006909547738693468,0.14215686274509803,0.7428526835273627
ProductionV2,0.006909547738693468,0.14460784313725492,0.7413336027166463
ProductionV2,0.007537688442211055,0.14460784313725492,0.7332008154990362
ProductionV2,0.007537688442211055,0.14705882352941177,0.7318682141005258
ProductionV2,0.008165829145728644,0.14705882352941177,0.7314927423425527
ProductionV2,0.008793969849246231,0.1568627450980392,0.7309938376930947
ProductionV2,0.008793969849246231,0.15931372549019607,0.730993214759467
ProductionV2,0.010050251256281407,0.15931372549019607,0.7278480953821719
ProductionV2,0.010050251256281407,0.1642156862745098,0.7242576463442819
ProductionV2,0.010050251256281407,0.16911764705882354,0.7186810132207989
ProductionV2,0.010678391959798994,0.16911764705882354,0.717233853961952
ProductionV2,0.010678391959798994,0.17892156862745098,0.7166578161233655
ProductionV2,0.010678391959798994,0.18382352941176472,0.715443255140938
ProductionV2,0.011306532663316583,0.18627450980392157,0.7089024785379962
ProductionV2,0.011306532663316583,0.18872549019607843,0.7049165209612325
ProductionV2,0.011306532663316583,0.19607843137254902,0.7043402151874293
ProductionV2,0.013819095477386936,0.19607843137254902,0.6979105017759314
ProductionV2,0.013819095477386936,0.19852941176470587,0.6964473105803589
ProductionV2,0.015703517587939697,0.19852941176470587,0.69045376165597
ProductionV2,0.016331658291457288,0.2034313725490196,0.6904096591299032
ProductionV2,0.018844221105527637,0.2034313725490196,0.6868008758455432
ProductionV2,0.018844221105527637,0.2107843137254902,0.677378208861889
ProductionV2,0.018844221105527637,0.21568627450980393,0.675580344998216
ProductionV2,0.020100502512562814,0.21568627450980393,0.6748038657674985
ProductionV2,0.0207286432160804,0.22058823529411764,0.6657675314239214
ProductionV2,0.0207286432160804,0.22549019607843138,0.663210700684948
ProductionV2,0.02135678391959799,0.22549019607843138,0.662837808254748
ProductionV2,0.02135678391959799,0.23039215686274508,0.6625610596855886
ProductionV2,0.02198492462311558,0.23039215686274508,0.6617037777224747
ProductionV2,0.022613065326633167,0.23284313725490197,0.660971141384215
ProductionV2,0.022613065326633167,0.23529411764705882,0.6596359049118112
ProductionV2,0.022613065326633167,0.2426470588235294,0.6584696466958734
ProductionV2,0.02386934673366834,0.2426470588235294,0.6571798138993519
ProductionV2,0.02512562814070352,0.24509803921568626,0.6570310848778109
ProductionV2,0.02512562814070352,0.25,0.6503924569054887
ProductionV2,0.026381909547738693,0.25,0.6468918521165911
ProductionV2,0.026381909547738693,0.25735294117647056,0.644025452787232
ProductionV2,0.026381909547738693,0.25980392156862747,0.6433604323583962
ProductionV2,0.028266331658291458,0.2647058823529412,0.6375926319707172
ProductionV2,0.029522613065326633,0.27205882352941174,0.6372737117341329
ProductionV2,0.03015075376884422,0.27205882352941174,0.6355520249112991
ProductionV2,0.031407035175879394,0.27450980392156865,0.6353720849227712
ProductionV2,0.031407035175879394,0.2818627450980392,0.6319403837808981
ProductionV2,0.032663316582914576,0.2818627450980392,0.6276944740697225
ProductionV2,0.03329145728643216,0.28921568627450983,0.6236476733457953
ProductionV2,0.03329145728643216,0.29411764705882354,0.6202825219742848
ProductionV2,0.03329145728643216,0.29901960784313725,0.6183008966427436
ProductionV2,0.03329145728643216,0.30392156862745096,0.6164681075683198
ProductionV2,0.034547738693467334,0.30392156862745096,0.6144611338176941
ProductionV2,0.035175879396984924,0.3088235294117647,0.61337363095076
ProductionV2,0.035804020100502515,0.3088235294117647,0.6128027751139737
ProductionV2,0.035804020100502515,0.3112745098039216,0.6102397249087267
ProductionV2,0.0364321608040201,0.3112745098039216,0.6101152074399764
ProductionV2,0.03706030150753769,0.3137254901960784,0.6049275779672927
ProductionV2,0.03706030150753769,0.31862745098039214,0.6040270239670092
ProductionV2,0.038316582914572864,0.31862745098039214,0.6032114738232496
ProductionV2,0.03957286432160804,0.32107843137254904,0.6029000165317886
ProductionV2,0.03957286432160804,0.32598039215686275,0.6002605894846967
ProductionV2,0.03957286432160804,0.33088235294117646,0.5947591714506054
ProductionV2,0.042085427135678394,0.33578431372549017,0.5941141708507058
ProductionV2,0.04271356783919598,0.33578431372549017,0.5930368045279073
ProductionV2,0.04271356783919598,0.34068627450980393,0.5889554877564708
ProductionV2,0.04396984924623116,0.3431372549019608,0.5854574776574955
ProductionV2,0.04396984924623116,0.35049019607843135,0.5754824295037291
ProductionV2,0.04459798994974874,0.35294117647058826,0.5739566312300939
ProductionV2,0.04459798994974874,0.3553921568627451,0.5711936012122542
ProductionV2,0.04522613065326633,0.3553921568627451,0.5709866789542596
ProductionV2,0.04522613065326633,0.35784313725490197,0.5688719118265289
ProductionV2,0.04648241206030151,0.3602941176470588,0.5642864782940036
ProductionV2,0.04962311557788945,0.36519607843137253,0.5641936151835935
ProductionV2,0.05087939698492462,0.375,0.5625029997011433
ProductionV2,0.05087939698492462,0.37745098039215685,0.5607579795153648
ProductionV2,0.052763819095477386,0.37745098039215685,0.5462106422862145
ProductionV2,0.052763819095477386,0.3799019607843137,0.5431315011834308
ProductionV2,0.05402010050251256,0.3799019607843137,0.5413268750895464
ProductionV2,0.05464824120603015,0.3872549019607843,0.5364760983388507
ProductionV2,0.055904522613065326,0.3872549019607843,0.5358121601861232
ProductionV2,0.0571608040201005,0.39215686274509803,0.5350257435253731
ProductionV2,0.059045226130653265,0.3946078431372549,0.5319636606197623
ProductionV2,0.059045226130653265,0.39950980392156865,0.5291895969263742
ProductionV2,0.059045226130653265,0.40441176470588236,0.5238616430004375
ProductionV2,0.06155778894472362,0.4068627450980392,0.5218948591606529
ProductionV2,0.06281407035175879,0.4068627450980392,0.5217175173794667
ProductionV2,0.06407035175879397,0.4166666666666667,0.5118810506602727
ProductionV2,0.06469849246231156,0.41911764705882354,0.5092107433037438
ProductionV2,0.06469849246231156,0.42401960784313725,0.5084855666401555
ProductionV2,0.06469849246231156,0.4264705882352941,0.505918701153385
ProductionV2,0.06532663316582915,0.42892156862745096,0.5047766218622218
ProductionV2,0.06532663316582915,0.43137254901960786,0.5042924108977455
ProductionV2,0.06595477386934673,0.43137254901960786,0.5033821687802016
ProductionV2,0.06721105527638191,0.4362745098039216,0.5026221257645315
ProductionV2,0.0678391959798995,0.4362745098039216,0.5002208407479292
ProductionV2,0.06846733668341709,0.44362745098039214,0.498337356799048
ProductionV2,0.06909547738693467,0.4485294117647059,0.49477168790306497
ProductionV2,0.07035175879396985,0.4534313725490196,0.49367579940989986
ProductionV2,0.07160804020100503,0.45588235294117646,0.4904878460112086
ProductionV2,0.07160804020100503,0.4583333333333333,0.48640824154314394
ProductionV2,0.0728643216080402,0.4632352941176471,0.47877830854285364
ProductionV2,0.07349246231155779,0.4681372549019608,0.47803224593191906
ProductionV2,0.07412060301507538,0.4681372549019608,0.47644935708396535
ProductionV2,0.07412060301507538,0.47058823529411764,0.47458339889193546
ProductionV2,0.07600502512562814,0.47794117647058826,0.4628844943148262
ProductionV2,0.07600502512562814,0.4803921568627451,0.4587667239239034
ProductionV2,0.07977386934673367,0.48284313725490197,0.45767243827348036
ProductionV2,0.08040201005025126,0.4877450980392157,0.45652785656371625
ProductionV2,0.08040201005025126,0.49264705882352944,0.44938811251829097
ProductionV2,0.08165829145728644,0.5024509803921569,0.44475394082970937
ProductionV2,0.0835427135678392,0.5024509803921569,0.44433370656684656
ProductionV2,0.08479899497487438,0.5024509803921569,0.4408644716574836
ProductionV2,0.08542713567839195,0.5049019607843137,0.4377468690175237
ProductionV2,0.08668341708542714,0.5049019607843137,0.43709444052631535
ProductionV2,0.08731155778894473,0.5049019607843137,0.4320535519024106
ProductionV2,0.08731155778894473,0.5073529411764706,0.4290461655560109
ProductionV2,0.08793969849246232,0.5147058823529411,0.42135940045782416
ProductionV2,0.08919597989949749,0.5147058823529411,0.4197686519088334
ProductionV2,0.09108040201005026,0.5171568627450981,0.41612188493148144
ProductionV2,0.09170854271356783,0.5171568627450981,0.4146257614880352
ProductionV2,0.09296482412060302,0.5196078431372549,0.413476319582679
ProductionV2,0.09296482412060302,0.5245098039215687,0.40854582169826903
ProductionV2,0.0942211055276382,0.5269607843137255,0.40447702739507474
ProductionV2,0.09547738693467336,0.5269607843137255,0.38481139994487584
ProductionV2,0.09736180904522614,0.5269607843137255,0.38318943072099826
ProductionV2,0.09798994974874371,0.5318627450980392,0.3818426899874508
ProductionV2,0.10050251256281408,0.5367647058823529,0.37557352712295095
ProductionV2,0.10113065326633165,0.5367647058823529,0.3720664856029254
ProductionV2,0.10175879396984924,0.5392156862745098,0.36735185060767356
ProductionV2,0.10238693467336683,0.5392156862745098,0.3667639815009816
ProductionV2,0.10238693467336683,0.5416666666666666,0.3664111836394329
ProductionV2,0.10301507537688442,0.5416666666666666,0.36593744907165343
ProductionV2,0.10427135678391959,0.5465686274509803,0.365506161273391
ProductionV2,0.10427135678391959,0.5490196078431373,0.36319481951190286
ProductionV2,0.10552763819095477,0.5490196078431373,0.35244907587116303
ProductionV2,0.10741206030150753,0.5490196078431373,0.35112458180714584
ProductionV2,0.10866834170854271,0.5563725490196079,0.35078282966225116
ProductionV2,0.1099246231155779,0.5563725490196079,0.34599545217523997
ProductionV2,0.11118090452261306,0.5563725490196079,0.34597196194493046
ProductionV2,0.11180904522613065,0.5563725490196079,0.3420396642200652
ProductionV2,0.11306532663316583,0.5563725490196079,0.3418090206555261
ProductionV2,0.11557788944723618,0.5661764705882353,0.3406389965400243
ProductionV2,0.11620603015075377,0.571078431372549,0.3402466608213951
ProductionV2,0.11746231155778894,0.5735294117647058,0.33866911559197044
ProductionV2,0.11871859296482412,0.5735294117647058,0.3368496726457594
ProductionV2,0.12060301507537688,0.5735294117647058,0.3316822188522505
ProductionV2,0.12060301507537688,0.5759803921568627,0.3265667474409935
ProductionV2,0.12248743718592965,0.5784313725490197,0.3265441043590939
ProductionV2,0.12311557788944724,0.5784313725490197,0.32286469657061867
ProductionV2,0.12311557788944724,0.5808823529411765,0.3225918814380461
ProductionV2,0.12374371859296482,0.5808823529411765,0.32018556665218556
ProductionV2,0.125,0.5808823529411765,0.3181221750447433
ProductionV2,0.12562814070351758,0.5808823529411765,0.3176983981490592
ProductionV2,0.12688442211055276,0.5808823529411765,0.2996930402257617
ProductionV2,0.12814070351758794,0.5808823529411765,0.2947091283926984
ProductionV2,0.13190954773869346,0.5808823529411765,0.2945804778273186
ProductionV2,0.13379396984924624,0.5931372549019608,0.2880560573623857
ProductionV2,0.13442211055276382,0.5931372549019608,0.28770353691799117
ProductionV2,0.1350502512562814,0.5955882352941176,0.28601500211658343
ProductionV2,0.135678391959799,0.5955882352941176,0.28433987638078295
ProductionV2,0.135678391959799,0.5980392156862745,0.27897494107924325
ProductionV2,0.13819095477386933,0.6029411764705882,0.27469817154401166
ProductionV2,0.1407035175879397,0.6029411764705882,0.2731850415732421
ProductionV2,0.14133165829145727,0.6151960784313726,0.2685935262849687
ProductionV2,0.14258793969849246,0.6200980392156863,0.2669406724169405
ProductionV2,0.14510050251256282,0.625,0.2665158728090256
ProductionV2,0.14698492462311558,0.6299019607843137,0.2659924971049028
ProductionV2,0.14761306532663315,0.6299019607843137,0.26534368115384893
ProductionV2,0.14824120603015076,0.6323529411764706,0.2649153620177849
ProductionV2,0.14824120603015076,0.6348039215686274,0.26491306037214224
ProductionV2,0.14949748743718594,0.6348039215686274,0.26232814663652926
ProductionV2,0.15012562814070352,0.6348039215686274,0.2618765062393236
ProductionV2,0.15263819095477388,0.6348039215686274,0.26059476294192413
ProductionV2,0.15452261306532664,0.6348039215686274,0.2591768294920719
ProductionV2,0.15829145728643215,0.6348039215686274,0.2590950485227463
ProductionV2,0.16017587939698494,0.6421568627450981,0.2580014686752561
ProductionV2,0.16080402010050251,0.6470588235294118,0.2575528725748038
ProductionV2,0.1620603015075377,0.6519607843137255,0.2572487665266814
ProductionV2,0.16331658291457288,0.6519607843137255,0.2555869743992485
ProductionV2,0.16457286432160803,0.6544117647058824,0.25354145244113735
ProductionV2,0.1670854271356784,0.6544117647058824,0.2506518384471821
ProductionV2,0.17336683417085427,0.6642156862745098,0.24588881445821817
ProductionV2,0.17462311557788945,0.6666666666666666,0.24518261368430708
ProductionV2,0.17525125628140703,0.6715686274509803,0.24395419232873639
ProductionV2,0.1765075376884422,0.6715686274509803,0.24311894457802125
ProductionV2,0.1777638190954774,0.6715686274509803,0.2422392617571335
ProductionV2,0.17839195979899497,0.6715686274509803,0.24206622886018989
ProductionV2,0.17839195979899497,0.6740196078431373,0.2404118719211435
ProductionV2,0.17964824120603015,0.6740196078431373,0.24024880323985012
ProductionV2,0.18027638190954773,0.6740196078431373,0.2401453214579875
ProductionV2,0.18090452261306533,0.6764705882352942,0.23747921792635382
ProductionV2,0.1815326633165829,0.6764705882352942,0.2371025926581567
ProductionV2,0.1827889447236181,0.6764705882352942,0.2339292224098299
ProductionV2,0.18341708542713567,0.6764705882352942,0.23072546117729323
ProductionV2,0.18530150753768845,0.678921568627451,0.23005896690182454
ProductionV2,0.1878140703517588,0.678921568627451,0.22576756254311878
ProductionV2,0.18907035175879397,0.6813725490196079,0.2256979322239559
ProductionV2,0.18969849246231155,0.6813725490196079,0.22380151863400957
ProductionV2,0.19095477386934673,0.6838235294117647,0.22156300688201333
ProductionV2,0.19158291457286433,0.6838235294117647,0.22141354223898435
ProductionV2,0.19472361809045227,0.6838235294117647,0.22085237245722428
ProductionV2,0.19535175879396985,0.6838235294117647,0.2204002419282603
ProductionV2,0.19535175879396985,0.6862745098039216,0.2175609718013764
ProductionV2,0.19597989949748743,0.6862745098039216,0.217548136954764
ProductionV2,0.1972361809045226,0.6862745098039216,0.21663349058746892
ProductionV2,0.19912060301507536,0.6862745098039216,0.21498266719108286
ProductionV2,0.20037688442211055,0.6862745098039216,0.2141385401218799
ProductionV2,0.20037688442211055,0.6911764705882353,0.2139260526486021
ProductionV2,0.20037688442211055,0.6936274509803921,0.21311817510431966
ProductionV2,0.20100502512562815,0.6936274509803921,0.21307896167003937
ProductionV2,0.20100502512562815,0.6985294117647058,0.21244205279544276
ProductionV2,0.2028894472361809,0.7009803921568627,0.2119702853308295
ProductionV2,0.20351758793969849,0.7009803921568627,0.21153460905112847
ProductionV2,0.20351758793969849,0.7058823529411765,0.2108114910578615
ProductionV2,0.20603015075376885,0.7083333333333334,0.21071635271190514
ProductionV2,0.2079145728643216,0.7083333333333334,0.20934234535437954
ProductionV2,0.20854271356783918,0.7107843137254902,0.20933637160932864
ProductionV2,0.21042713567839197,0.7132352941176471,0.20788346250689518
ProductionV2,0.21168341708542712,0.7132352941176471,0.2060443290213063
ProductionV2,0.21231155778894473,0.7132352941176471,0.20478131754075204
ProductionV2,0.21419597989949749,0.7132352941176471,0.20472644575841428
ProductionV2,0.217964824120603,0.7132352941176471,0.1964990209260313
ProductionV2,0.2198492462311558,0.7156862745098039,0.19450120660742545
ProductionV2,0.22047738693467336,0.7156862745098039,0.19444506517685903
ProductionV2,0.2242462311557789,0.7205882352941176,0.19440592525735878
ProductionV2,0.2242462311557789,0.7230392156862745,0.1926377288496244
ProductionV2,0.22487437185929648,0.7303921568627451,0.1906353898249263
ProductionV2,0.22550251256281406,0.7303921568627451,0.18847316943397885
ProductionV2,0.2292713567839196,0.7303921568627451,0.1881960041279912
ProductionV2,0.2305276381909548,0.7328431372549019,0.1861079866972888
ProductionV2,0.23555276381909548,0.7328431372549019,0.18253718174293135
ProductionV2,0.23618090452261306,0.7352941176470589,0.1815779403595278
ProductionV2,0.23743718592964824,0.7352941176470589,0.1799887593193804
ProductionV2,0.23869346733668342,0.7401960784313726,0.17970532834718583
ProductionV2,0.239321608040201,0.7426470588235294,0.1768264232895981
ProductionV2,0.24057788944723618,0.7450980392156863,0.17651007879328018
ProductionV2,0.24560301507537688,0.7450980392156863,0.176096918073298
ProductionV2,0.24623115577889448,0.7450980392156863,0.17592248594400312
ProductionV2,0.24623115577889448,0.7475490196078431,0.1754851900845954
ProductionV2,0.24748743718592964,0.7475490196078431,0.17481093452920116
ProductionV2,0.2550251256281407,0.7524509803921569,0.17457269815223608
ProductionV2,0.2562814070351759,0.7524509803921569,0.17437545204893506
ProductionV2,0.25753768844221103,0.7549019607843137,0.17414549205135876
ProductionV2,0.2613065326633166,0.7573529411764706,0.17328520399077255
ProductionV2,0.2663316582914573,0.7622549019607843,0.17286958264965074
ProductionV2,0.26695979899497485,0.7622549019607843,0.17262974845189527
ProductionV2,0.26821608040201006,0.7622549019607843,0.17245880400173869
ProductionV2,0.26884422110552764,0.7647058823529411,0.1708426298825986
ProductionV2,0.2707286432160804,0.7647058823529411,0.17077812001347872
ProductionV2,0.27324120603015073,0.7671568627450981,0.17056317853794206
ProductionV2,0.2776381909547739,0.7696078431372549,0.16960749566116956
ProductionV2,0.27889447236180903,0.7696078431372549,0.16802919436594052
ProductionV2,0.28015075376884424,0.7696078431372549,0.1679853821243336
ProductionV2,0.2807788944723618,0.7696078431372549,0.16708903488861562
ProductionV2,0.28266331658291455,0.7696078431372549,0.16577125423674482
ProductionV2,0.2832914572864322,0.7696078431372549,0.16576946608079876
ProductionV2,0.2870603015075377,0.7720588235294118,0.16403229163548336
ProductionV2,0.292713567839196,0.7720588235294118,0.16182620929573252
ProductionV2,0.2964824120603015,0.7720588235294118,0.1616148848222753
ProductionV2,0.29962311557788945,0.7720588235294118,0.16133400337932813
ProductionV2,0.30339195979899497,0.7720588235294118,0.16046526615449572
ProductionV2,0.30402010050251255,0.7720588235294118,0.16042579172132862
ProductionV2,0.30527638190954776,0.7720588235294118,0.16020209632406923
ProductionV2,0.30590452261306533,0.7720588235294118,0.16014111241994325
ProductionV2,0.30778894472361806,0.7745098039215687,0.15998002978725065
ProductionV2,0.3103015075376884,0.7745098039215687,0.15873292162334926
ProductionV2,0.31155778894472363,0.7745098039215687,0.15821106741242918
ProductionV2,0.3165829145728643,0.7818627450980392,0.15810694811647924
ProductionV2,0.3178391959798995,0.7818627450980392,0.1567572591452531
ProductionV2,0.3203517587939699,0.7867647058823529,0.1565340075306468
ProductionV2,0.32097989949748745,0.7867647058823529,0.15601333606714074
ProductionV2,0.3222361809045226,0.7867647058823529,0.15599289962304497
ProductionV2,0.3241206030150754,0.7867647058823529,0.15530462543128576
ProductionV2,0.32537688442211055,0.7892156862745098,0.15440486522949481
ProductionV2,0.32663316582914576,0.7892156862745098,0.15418286100096368
ProductionV2,0.3285175879396985,0.7892156862745098,0.1538148180327286
ProductionV2,0.3285175879396985,0.7916666666666666,0.1517218862300834
ProductionV2,0.33040201005025127,0.7941176470588235,0.15071300462570023
ProductionV2,0.3316582914572864,0.7941176470588235,0.1502079685725876
ProductionV2,0.33668341708542715,0.8014705882352942,0.1497423725160809
ProductionV2,0.3379396984924623,0.8014705882352942,0.1495047145427961
ProductionV2,0.3398241206030151,0.8014705882352942,0.14945106922772758
ProductionV2,0.34108040201005024,0.8014705882352942,0.14760037273575913
ProductionV2,0.34296482412060303,0.8014705882352942,0.14567792810461289
ProductionV2,0.3479899497487437,0.8014705882352942,0.14450381923032166
ProductionV2,0.3479899497487437,0.803921568627451,0.14416659070730878
ProductionV2,0.34861809045226133,0.803921568627451,0.14373217503400332
ProductionV2,0.3530150753768844,0.803921568627451,0.14350878588182198
ProductionV2,0.3555276381909548,0.8088235294117647,0.14319695335614527
ProductionV2,0.35678391959798994,0.8088235294117647,0.1425256665849485
ProductionV2,0.3574120603015075,0.8112745098039216,0.14218776551634985
ProductionV2,0.36180904522613067,0.8137254901960784,0.1421473548886631
ProductionV2,0.36432160804020103,0.8137254901960784,0.14145802604620167
ProductionV2,0.36746231155778897,0.8137254901960784,0.14041638572410636
ProductionV2,0.36809045226130654,0.8137254901960784,0.14022632385483655
ProductionV2,0.3699748743718593,0.8137254901960784,0.13972863089152257
ProductionV2,0.3731155778894472,0.8186274509803921,0.1396961430689565
ProductionV2,0.3787688442211055,0.8235294117647058,0.13968880535364206
ProductionV2,0.3793969849246231,0.8235294117647058,0.1394422651743433
ProductionV2,0.38253768844221103,0.8259803921568627,0.13930624210210646
ProductionV2,0.3850502512562814,0.8308823529411765,0.13728864749041345
