model,cv_roc_auc_mean,cv_roc_auc_std,cv_roc_auc_min,cv_roc_auc_max,cv_pr_auc_mean,cv_pr_auc_std,cv_pr_auc_min,cv_pr_auc_max,cv_precision_mean,cv_precision_std,cv_precision_min,cv_precision_max,cv_recall_mean,cv_recall_std,cv_recall_min,cv_recall_max,cv_f1_mean,cv_f1_std,cv_f1_min,cv_f1_max,cv_accuracy_mean,cv_accuracy_std,cv_accuracy_min,cv_accuracy_max,fit_time,score_time,holdout_threshold,holdout_accuracy,holdout_precision,holdout_recall,holdout_f1,holdout_roc_auc,holdout_pr_auc,holdout_brier_score,holdout_log_loss,holdout_tn,holdout_fp,holdout_fn,holdout_tp,holdout_specificity,holdout_fpr,holdout_fnr,holdout_predict_time
ProductionV2,0.8046320463060166,0.010372765505018039,0.7886842561470082,0.8175942156003506,0.5790461123974882,0.01532984972799414,0.5553277574055501,0.5935701480355128,0.6454665997811151,0.022773442378889945,0.6055045871559633,0.6683673469387755,0.41656441717791415,0.01739564034203415,0.401840490797546,0.44785276073619634,0.5060519149968631,0.015548500780415381,0.4852941176470588,0.5289855072463768,0.834375,0.005214163403653569,0.825,0.839375,0.8505601406097412,0.03736581802368164,0.5,0.831,0.6223776223776224,0.4362745098039216,0.5129682997118156,0.8191054845304956,0.5969413017910346,0.11980516398940916,0.38345593741442463,1484,108,230,178,0.9321608040201005,0.06783919597989951,0.5637254901960784,0.010379999999997835
DummyPrior,0.5,0.0,0.5,0.5,0.20374999999999996,2.7755575615628914e-17,0.20375,0.20375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79625,0.0,0.79625,0.79625,0.011465167999267578,0.031333303451538085,0.5,0.796,0.0,0.0,0.0,0.5,0.204,0.16238406249999998,0.5058980408679058,1592,0,408,0,1.0,0.0,1.0,0.0032091999999863674
LogisticRegression,0.7269688243395518,0.011342152134167196,0.7091933045044351,0.7419484547004267,0.35866261292224516,0.010316125314584123,0.3418116282213942,0.37369128181442596,0.4046067374161731,0.010866810011019268,0.3872340425531915,0.4190064794816415,0.6,0.02578147409748551,0.558282208588957,0.6380368098159509,0.4831838643011726,0.014665212264740785,0.45728643216080406,0.5,0.7386250000000001,0.0064879696361804995,0.73,0.749375,0.015743112564086913,0.027788925170898437,0.5,0.7405,0.4117647058823529,0.6348039215686274,0.4995178399228545,0.7473696608040201,0.3736322270729892,0.21519228357872586,0.6366849580303702,1222,370,149,259,0.7675879396984925,0.23241206030150752,0.36519607843137253,0.009285299999987728
RandomForest,0.818073841145708,0.008828628065263192,0.8014622318960619,0.8257167897833981,0.5994055774953274,0.015304744530414407,0.5798844761478352,0.6153412426837761,0.6434703104857951,0.008978656475010761,0.6340425531914894,0.6544715447154471,0.4815950920245399,0.018709141941075938,0.4570552147239264,0.50920245398773,0.5506993006597865,0.013454771732095085,0.5311942959001783,0.565587734241908,0.8399999999999999,0.0030362394503727925,0.835625,0.84375,0.6341412544250489,0.08496360778808594,0.5,0.838,0.63125,0.4950980392156863,0.554945054945055,0.8263275630604001,0.6105060700205373,0.11719411422802264,0.3777433102110839,1474,118,206,202,0.9258793969849246,0.07412060301507539,0.5049019607843137,0.03528219999998328
GradientBoosting,0.8184032225443267,0.008952856954737475,0.8040915044639847,0.8288240024655449,0.5973459031023026,0.015867495952785048,0.5774970350364552,0.6141784276368815,0.6687966068948498,0.015620318349058285,0.6482412060301508,0.6842105263157895,0.4257668711656442,0.018137111041833735,0.39570552147239263,0.44785276073619634,0.5200681339783232,0.015361580996073636,0.49142857142857144,0.5345794392523364,0.8400000000000001,0.003872983346207421,0.833125,0.844375,0.5312120914459229,0.036992359161376956,0.5,0.8365,0.6613545816733067,0.4068627450980392,0.503793626707132,0.8312087397773179,0.6205335173418699,0.11665830397104829,0.37695749982322624,1507,85,242,166,0.946608040201005,0.053391959798995026,0.5931372549019608,0.008063099999986889
HistGradientBoosting,0.8174437306777358,0.008590413237040533,0.8027913147325944,0.8270759696044533,0.5994952145512354,0.014983699029562793,0.5816471606593525,0.6184635738512673,0.6717932462030585,0.012954491137929403,0.6532663316582915,0.6839622641509434,0.4269938650306749,0.016277913081498903,0.3987730061349693,0.4447852760736196,0.5219959651320443,0.014716700481335714,0.49523809523809514,0.5390334572490707,0.8407500000000001,0.003674234614174774,0.834375,0.845,0.3287684917449951,0.07404670715332032,0.5,0.8365,0.6600790513833992,0.40931372549019607,0.5052950075642965,0.8296899632968765,0.6198188113339992,0.11624820978067683,0.3742658243090773,1506,86,241,167,0.9459798994974874,0.0540201005025126,0.5906862745098039,0.035105299999997897
